text,category,severity
dispute between business partners regarding shares despite multiple complaints filed,Business Law,Moderate
phishing attack asking for sensitive information seeking legal resolution,Cyber Law,Minor
landlord not maintaining basic facilities causing financial and mental stress,Tenant Law,Minor
contract terms violated after signing,Contract Law,Minor
property ownership dispute between family members and no action taken by authorities,Property Law,Moderate
landlord refusing to return security deposit after vacating seeking legal resolution,Tenant Law,Minor
company forcing overtime work without compensation causing financial and mental stress,Labour Law,Minor
dispute between business partners regarding shares and no action taken by authorities,Business Law,Moderate
client refused to follow agreement conditions,Contract Law,Moderate
wages delayed repeatedly despite complaints causing financial and mental stress,Labour Law,Moderate
landlord refusing to return security deposit after vacating causing financial and mental stress,Tenant Law,Minor
fraud committed causing financial damage seeking legal resolution,Criminal Law,Serious
employee terminated without notice or settlement and no action taken by authorities,Labour Law,Minor
rent increased without agreement and no action taken by authorities,Tenant Law,Moderate
contract terms violated after signing causing financial and mental stress,Contract Law,Minor
agreement breached by business partner despite multiple complaints filed,Contract Law,Moderate
property ownership dispute between family members causing financial and mental stress,Property Law,Moderate
client refused to follow agreement conditions and no action taken by authorities,Contract Law,Moderate
salary has not been paid for the last three months by employer seeking legal resolution,Labour Law,Minor
personal data misused without permission and no action taken by authorities,Cyber Law,Minor
forged property documents detected despite multiple complaints filed,Property Law,Moderate
agreement breached by business partner causing financial and mental stress,Contract Law,Moderate
certificate not issued after course completion,Education Law,Minor
employee terminated without notice or settlement despite multiple complaints filed,Labour Law,Moderate
shareholder disagreement affecting operations causing financial and mental stress,Business Law,Moderate
payment not made after contract completion causing financial and mental stress,Contract Law,Minor
personal data misused without permission despite multiple complaints filed,Cyber Law,Moderate
serious threats received from known person seeking legal resolution,Criminal Law,Serious
online fraud transaction resulted in financial loss,Cyber Law,Serious
online order delivered wrong item and no replacement given,Consumer Law,Minor
institute not refunding fees after cancellation,Education Law,Moderate
landlord not maintaining basic facilities,Tenant Law,Minor
received defective product and seller denied refund causing financial and mental stress,Consumer Law,Moderate
builder delaying possession of property,Property Law,Moderate
payment not made after contract completion,Contract Law,Minor
payment not made after contract completion and no action taken by authorities,Contract Law,Minor
landlord not maintaining basic facilities seeking legal resolution,Tenant Law,Minor
tenant forced to vacate property without notice,Tenant Law,Minor
dispute between business partners regarding shares seeking legal resolution,Business Law,Moderate
contract terms violated after signing despite multiple complaints filed,Contract Law,Moderate
divorce proceedings required with mutual agreement despite multiple complaints filed,Family Law,Moderate
landlord refusing to return security deposit after vacating and no action taken by authorities,Tenant Law,Minor
certificate not issued after course completion causing financial and mental stress,Education Law,Minor
received defective product and seller denied refund,Consumer Law,Moderate
spouse refusing separation agreement despite multiple complaints filed,Family Law,Moderate
agreement breached by business partner seeking legal resolution,Contract Law,Moderate
company not responding to complaint request seeking legal resolution,Consumer Law,Moderate
attempt to harm life reported seeking legal resolution,Criminal Law,Serious
wages delayed repeatedly despite complaints seeking legal resolution,Labour Law,Moderate
forged property documents detected causing financial and mental stress,Property Law,Minor
online order delivered wrong item and no replacement given and no action taken by authorities,Consumer Law,Minor
individual physically assaulted and injured seeking legal resolution,Criminal Law,Serious
company not complying with legal regulations causing financial and mental stress,Business Law,Minor
institute not refunding fees after cancellation causing financial and mental stress,Education Law,Moderate
dispute between business partners regarding shares causing financial and mental stress,Business Law,Moderate
received defective product and seller denied refund seeking legal resolution,Consumer Law,Moderate
child custody dispute between parents,Family Law,Moderate
rent increased without agreement,Tenant Law,Moderate
wages delayed repeatedly despite complaints,Labour Law,Moderate
forged property documents detected,Property Law,Minor
spouse refusing separation agreement seeking legal resolution,Family Law,Moderate
spouse refusing separation agreement and no action taken by authorities,Family Law,Moderate
college denied admission without valid reason,Education Law,Minor
dispute between business partners regarding shares,Business Law,Moderate
child custody dispute between parents and no action taken by authorities,Family Law,Moderate
salary has not been paid for the last three months by employer,Labour Law,Minor
company forcing overtime work without compensation despite multiple complaints filed,Labour Law,Moderate
online order delivered wrong item and no replacement given seeking legal resolution,Consumer Law,Minor
incorrect exam result declared and no action taken by authorities,Education Law,Minor
individual physically assaulted and injured causing financial and mental stress,Criminal Law,Serious
company forcing overtime work without compensation seeking legal resolution,Labour Law,Minor
phishing attack asking for sensitive information causing financial and mental stress,Cyber Law,Minor
college denied admission without valid reason despite multiple complaints filed,Education Law,Moderate
individual physically assaulted and injured and no action taken by authorities,Criminal Law,Serious
incorrect exam result declared causing financial and mental stress,Education Law,Minor
company not complying with legal regulations and no action taken by authorities,Business Law,Minor
bank account hacked and money transferred without consent,Cyber Law,Serious
warranty claim rejected unfairly seeking legal resolution,Consumer Law,Minor
property ownership dispute between family members,Property Law,Moderate
company not responding to complaint request and no action taken by authorities,Consumer Law,Moderate
startup agreement conflict among founders causing financial and mental stress,Business Law,Moderate
online order delivered wrong item and no replacement given despite multiple complaints filed,Consumer Law,Moderate
company not responding to complaint request causing financial and mental stress,Consumer Law,Moderate
domestic conflict requiring legal guidance,Family Law,Minor
tenant forced to vacate property without notice despite multiple complaints filed,Tenant Law,Moderate
company not responding to complaint request,Consumer Law,Moderate
certificate not issued after course completion and no action taken by authorities,Education Law,Minor
shareholder disagreement affecting operations despite multiple complaints filed,Business Law,Moderate
serious threats received from known person despite multiple complaints filed,Criminal Law,Serious
landlord not maintaining basic facilities and no action taken by authorities,Tenant Law,Minor
agreement breached by business partner and no action taken by authorities,Contract Law,Moderate
company not complying with legal regulations despite multiple complaints filed,Business Law,Moderate
employee terminated without notice or settlement,Labour Law,Minor
received defective product and seller denied refund and no action taken by authorities,Consumer Law,Moderate
agreement breached by business partner,Contract Law,Moderate
fraud committed causing financial damage despite multiple complaints filed,Criminal Law,Serious
client refused to follow agreement conditions causing financial and mental stress,Contract Law,Moderate
property ownership dispute between family members seeking legal resolution,Property Law,Moderate
divorce proceedings required with mutual agreement causing financial and mental stress,Family Law,Moderate
builder delaying possession of property seeking legal resolution,Property Law,Moderate
domestic conflict requiring legal guidance causing financial and mental stress,Family Law,Minor
bank account hacked and money transferred without consent and no action taken by authorities,Cyber Law,Serious
serious threats received from known person causing financial and mental stress,Criminal Law,Serious
shareholder disagreement affecting operations,Business Law,Moderate
tenant forced to vacate property without notice causing financial and mental stress,Tenant Law,Minor
shareholder disagreement affecting operations and no action taken by authorities,Business Law,Moderate
phishing attack asking for sensitive information and no action taken by authorities,Cyber Law,Minor
forged property documents detected and no action taken by authorities,Property Law,Minor
salary has not been paid for the last three months by employer and no action taken by authorities,Labour Law,Minor
domestic conflict requiring legal guidance seeking legal resolution,Family Law,Minor
institute not refunding fees after cancellation despite multiple complaints filed,Education Law,Moderate
builder delaying possession of property despite multiple complaints filed,Property Law,Moderate
